x,y_obs,weight,y_calc,y_bkg,Q
4.53021,147.872,0.00676259,147.533,146.677,1.20191
4.54921,147.841,0.00676402,147.505,146.656,1.20695
4.56822,147.617,0.00677428,147.478,146.635,1.21199
4.58722,147.265,0.00679046,147.452,146.614,1.21703
4.60622,147.376,0.00678538,147.428,146.594,1.22207
4.62523,147.739,0.00676867,147.404,146.574,1.2271
4.64423,147.999,0.00675682,147.382,146.555,1.23214
4.66323,148.202,0.00674755,147.36,146.535,1.23718
4.68224,148.281,0.00674396,147.34,146.517,1.24222
4.70124,147.913,0.00676073,147.32,146.498,1.24726
4.72024,147.826,0.00676473,147.3,146.48,1.2523
4.73924,147.314,0.00678823,147.282,146.461,1.25734
4.75825,147.377,0.00678531,147.264,146.444,1.26237
4.77725,147.329,0.00678751,147.246,146.426,1.26741
4.79625,147.698,0.00677057,147.23,146.408,1.27245
4.81526,147.59,0.00677552,147.213,146.391,1.27749
4.83426,147.278,0.00678987,147.198,146.373,1.28253
4.85326,147.003,0.00680258,147.182,146.356,1.28756
4.87227,147.1,0.00679811,147.167,146.339,1.2926
4.89127,147.187,0.00679407,147.153,146.321,1.29764
4.91027,146.877,0.00680841,147.139,146.304,1.30268
4.92928,146.934,0.00680577,147.125,146.287,1.30772
4.94828,146.748,0.00681441,147.112,146.27,1.31275
4.96728,146.649,0.00681899,147.099,146.253,1.31779
4.98629,146.636,0.00681961,147.086,146.236,1.32283
5.00529,146.484,0.00682666,147.073,146.219,1.32787
5.02429,146.588,0.00682184,147.061,146.202,1.33291
5.0433,146.591,0.00682168,147.049,146.185,1.33794
5.0623,146.314,0.00683459,147.038,146.168,1.34298
5.0813,146.479,0.0068269,147.026,146.151,1.34802
5.10031,146.57,0.00682269,147.015,146.134,1.35306
5.11931,146.76,0.00681387,147.004,146.117,1.35809
5.13831,146.669,0.00681808,146.994,146.1,1.36313
5.15732,146.856,0.00680939,146.983,146.083,1.36817
5.17632,146.858,0.00680928,146.973,146.066,1.37321
5.19532,146.926,0.00680617,146.964,146.049,1.37825
5.21433,146.46,0.0068278,146.954,146.032,1.38328
5.23333,146.512,0.00682537,146.945,146.015,1.38832
5.25233,146.728,0.00681535,146.936,145.998,1.39336
5.27134,147.294,0.00678914,146.927,145.98,1.39839
5.29034,147.03,0.00680134,146.919,145.963,1.40343
5.30934,145.991,0.00684972,146.91,145.946,1.40847
5.32835,145.675,0.0068646,146.903,145.929,1.41351
5.34735,145.816,0.00685795,146.895,145.912,1.41854
5.36635,146.585,0.00682197,146.888,145.894,1.42358
5.38536,146.905,0.00680714,146.881,145.877,1.42862
5.40436,146.617,0.00682051,146.875,145.86,1.43365
5.42336,145.987,0.00684991,146.868,145.843,1.43869
5.44237,145.964,0.00685102,146.863,145.826,1.44373
5.46137,146.487,0.00682653,146.857,145.809,1.44877
5.48037,146.968,0.00680419,146.852,145.792,1.4538
5.49938,146.866,0.00680894,146.848,145.775,1.45884
5.51838,146.811,0.00681149,146.844,145.758,1.46388
5.53738,146.254,0.00683744,146.84,145.741,1.46891
5.55639,146.366,0.00683218,146.837,145.725,1.47395
5.57539,146.2,0.00683994,146.834,145.708,1.47899
5.59439,146.277,0.00683635,146.832,145.691,1.48402
5.6134,146.295,0.00683549,146.831,145.675,1.48906
5.6324,146.079,0.00684559,146.83,145.659,1.4941
5.6514,145.821,0.00685774,146.829,145.643,1.49913
5.67041,146.5,0.00682594,146.829,145.627,1.50417
5.68941,146.67,0.00681803,146.83,145.611,1.50921
5.70841,146.448,0.00682837,146.832,145.595,1.51424
5.72741,146.355,0.00683269,146.834,145.579,1.51928
5.74642,146.822,0.00681095,146.837,145.564,1.52432
5.76542,146.98,0.00680364,146.841,145.549,1.52935
5.78442,147.1,0.00679811,146.845,145.534,1.53439
5.80343,147.233,0.00679197,146.851,145.519,1.53942
5.82243,146.711,0.00681612,146.857,145.504,1.54446
5.84143,146.484,0.00682669,146.864,145.49,1.5495
5.86044,146.686,0.00681728,146.872,145.475,1.55453
5.87944,147.243,0.00679151,146.882,145.462,1.55957
5.89844,147.539,0.00677785,146.892,145.448,1.5646
5.91745,147.346,0.00678673,146.903,145.434,1.56964
5.93645,147.086,0.00679876,146.915,145.421,1.57468
5.95545,147.051,0.00680034,146.929,145.408,1.57971
5.97446,147.237,0.00679176,146.944,145.396,1.58475
5.99346,147.338,0.00678712,146.96,145.383,1.58978
6.01246,147.207,0.00679315,146.977,145.371,1.59482
6.03147,147.383,0.00678504,146.996,145.36,1.59986
6.05047,147.666,0.00677204,147.017,145.348,1.60489
6.06947,148.427,0.00673734,147.038,145.337,1.60993
6.08848,148.942,0.00671404,147.062,145.327,1.61496
6.10748,149.364,0.00669505,147.087,145.316,1.62
6.12648,148.912,0.00671538,147.114,145.306,1.62503
6.14549,148.349,0.00674086,147.143,145.297,1.63007
6.16449,147.811,0.0067654,147.174,145.287,1.6351
6.18349,147.69,0.00677095,147.207,145.279,1.64014
6.2025,148.089,0.0067527,147.242,145.27,1.64517
6.2215,148.015,0.00675606,147.279,145.262,1.65021
6.2405,147.996,0.00675693,147.319,145.254,1.65524
6.25951,147.906,0.00676105,147.361,145.247,1.66028
6.27851,147.855,0.00676338,147.406,145.24,1.66532
6.29751,147.579,0.00677602,147.453,145.234,1.67035
6.31652,146.849,0.00680972,147.504,145.228,1.67539
6.33552,147.153,0.00679563,147.558,145.223,1.68042
6.35452,147.861,0.0067631,147.615,145.218,1.68546
6.37353,148.213,0.00674706,147.676,145.213,1.69049
6.39253,147.827,0.00676467,147.74,145.209,1.69552
6.41153,147.756,0.00676793,147.809,145.206,1.70056
6.43054,148.25,0.00674534,147.881,145.203,1.70559
6.44954,148.809,0.00672002,147.959,145.2,1.71063
6.46854,148.71,0.0067245,148.041,145.198,1.71566
6.48755,148.012,0.00675621,148.128,145.196,1.7207
6.50655,147.731,0.00676907,148.221,145.195,1.72573
6.52555,147.798,0.00676599,148.32,145.195,1.73077
