Tc(K),  Pressure(GPa)
21.53994225216552, 1.8385650224215127
30.202117420596696, 4.753363228699545
38.460057747834426, 10.246636771300448
52.319538017324305, 17.937219730941695
65.54379210779587, 26.7488789237668
80.32723772858505, 29.080717488789222
88.18094321462932, 30.06726457399101
91.35707410972081, 31.45739910313899
109.66313763233876, 32.37668161434975
