Pressure(GPa), Tc(K)
34.5332050048123,5.38116591928252
45.6207892204042,13.677130044843
55.1491819056785,21.4349775784753
64.5620789220404,27.8026905829596
76.5158806544754,29.372197309417
94.8796920115495,31.0538116591928
27.1992300288739,3.02690582959643
34.9374398460057,4.91031390134527
41.5784408084697,8.1390134529148
49.3166506256015,12.2869955156951
57.0548604427333,16.8161434977578
70.7988450433108,25.4708520179372
21.5399422521655,1.83856502242151
30.2021174205967,4.75336322869955
38.4600577478344,10.2466367713004
52.3195380173243,17.9372197309417
65.5437921077959,26.7488789237668
80.3272377285851,29.0807174887892
88.1809432146293,30.067264573991
91.3570741097208,31.457399103139
109.663137632339,32.3766816143497
17.2666025024061,1.7713004484305
25.7555341674687,3.36322869955158
33.2050048123195,6.14349775784754
40.5967276227141,9.97757847533632
47.3532242540904,13.7443946188341
54.9759384023099,16.9730941704036
63.0028873917227,22.4887892376681
71.8383060635225,28.3408071748879
79.3455245428296,29.372197309417
85.9865255052935,30.3139013452915
94.0712223291626,30.7399103139013
24.6583253128007,2.95964125560539
38.7487969201155,11.2107623318386
30.2021174205967,4.50672645739911
