pressure(GPa),a(A),esd_a,c(A),esd_c,vol(A^3),esd_vol,phase,file_no
0,3.009682,0.000334,20.889203,0.003259,163.868,0.024,166,1
3.6,2.998665,0.000639,20.76816,0.008181,161.728,0.063,166,2
12,2.979991,0.000487,20.624416,0.007187,158.614,0.057,166,3
24,2.951677,0.000639,20.403757,0.006564,153.95,0.058,166,4
31,2.930334,0.000486,20.306385,0.006775,151.007,0.054,166,5
37,2.913692,0.000639,20.209796,0.008801,148.587,0.069,166,6
43,2.898677,0.000876,20.144557,0.010214,146.584,0.081,166,7
45,2.891858,0.000816,20.112145,0.010165,145.661,0.08,166,8
48,2.882979,0.000883,20.090456,0.013608,144.612,0.102,166,9
52,2.877393,0.001089,20.071184,0.014615,143.914,0.111,166,10
52,2.923259,0.009406,3.024465,0.009063,22.383,0.039,191,10
56,2.917451,0.002741,3.018172,0.002815,22.248,0.013,191,11
62,2.904611,0.001108,3.003373,0.001456,21.944,0.008,191,12
69,2.894271,0.001032,2.98165,0.001204,21.63,0.006,191,13
77,2.885671,0.000715,2.973642,0.000876,21.444,0.005,191,14
84,2.872994,0.000756,2.969137,0.000884,21.224,0.005,191,15
91,2.868599848181059,0.00055927,2.951891001992006,0.000652182,21.036374371898926,0.003419724,191,16
98,2.860807043839606,0.00056342,2.948341918011976,0.000654229,20.897080303014288,0.003380788,191,17
104,2.8554933705489547,0.000515687,2.935221459072592,0.000595782,20.726874509310047,0.003079638,191,18
109,2.847663293124225,0.000586173,2.9336092492016292,0.000673852,20.60203744615177,0.003421973,191,19
114,2.8440002475326644,0.000597827,2.915092083698659,0.000678624,20.41936204631865,0.003454151,191,20
119,2.8393413852175056,0.000582283,2.910938510558946,0.000659367,20.323518098874622,0.003334798,191,21
123,2.8282915594518454,0.000787545,2.9242809103176537,0.000894842,20.258070388289987,0.004378705,191,22
128,2.8295712604472643,0.000601114,2.9039132155298866,0.000673843,20.13518093,0.003344626,191,23
133,2.823718693664999,0.000644403,2.8973536756992386,0.000715894,20.006678892452875,0.003509484,191,24
138,2.814054802860279,0.000765647,2.9021157008172747,0.000855819,19.90262940553569,0.004117681,191,25
142,2.8149057540494953,0.000641379,2.8829837366706714,0.000703678,19.783382221044082,0.003415471,191,26
147,2.810879721,0.000619403,2.876125368169171,0.00067483,19.679903701394945,0.003266053,191,27
168,2.7921518951088173,0.000610184,2.8560767008911685,0.000657438,19.283176622152144,0.003119084,191,28
165,2.796295326043575,0.000516077,2.8625157259666327,0.000582925,19.384052907890208,0.002869192,191,29
137,2.8200898104697583,0.000587912,2.9048983233968033,0.000671476,20.00725218681754,0.003316082,191,30
56,2.865888,0.001117,20.029313,0.009828,142.467,0.086,166,11
62,2.845596,0.001004,19.972769,0.013828,140.06,0.103,166,12
69,2.833473,0.001706,19.914124,0.015351,138.462,0.141,166,13
77,2.822456,0.001872,19.87421,0.012095,137.112,0.133,166,14
84,2.797827,0.001778,19.810155,0.012533,134.295,0.131,166,15
91,2.8006211848501263,0.001647884,19.75871799295785,0.011292156679069312,134.2140969967559,0.12019929914904737,166,16
98,2.7872614970818606,0.001533475,19.698949170844145,0.00976738,132.53455443228353,0.10815794090838012,166,17
104,2.7882861315225544,0.001834856,19.666279913480544,0.008924583,132.41205484128199,0.11934694359423659,166,18
109,2.7749405901406408,0.001729743,19.614377279896853,0.010121539310468494,130.80144309726035,0.11750045404628985,166,19
114,2.7936762230449474,0.002037601,19.600149448074877,0.017227303728187208,132.47751027259406,0.15960148440339142,166,20
119,2.7849242702885135,0.002125584,19.57122519648158,0.014640397669664268,131.45449039838715,0.151649981,166,21
123,2.756281578880246,0.001387151,19.509872079360093,0.012667565793468791,128.36074194226927,0.11139295961854646,166,22
128,2.7682170138543167,0.002333698,19.49709581151079,0.013960700288855826,129.39003331322556,0.15711244274490505,166,23
133,2.763810228932331,0.002468934,19.452838644665796,0.017642835065382258,128.6856308253236,0.175546273,166,24
138,2.7454750279043263,0.001789325,19.400268034396568,0.015854236676080186,126.6407160854168,0.13957346344565807,166,25
142,2.766741014587713,0.002359318,19.408330430580605,0.021047850774717502,128.66363757367074,0.1847064770084314,166,26
147,2.766794658391102,0.002267288,19.36096585640754,0.020434713,128.3546207608431,0.17908234698497436,166,27
168,2.7492710110393275,0.002224124,19.22961165499444,0.021287244,125.87406307406802,0.18019542403964836,166,28
165,2.754733845894292,0.002654991,18.894822243718725,0.051473597303251226,124.17458929301357,0.3514392085351764,166,29
137,2.7743730486261535,0.003099323,19.109375867516746,0.038234357024931345,127.38164360178409,0.29503216673843535,166,30
