x, y
0.292832425,27.4301677
1.317717987,27.31843575
2.928255832,27.1758729
5.739385676,27.00604067
7.96486184,26.82726969
13.8213763,26.44291211
17.27672212,26.24581007
20.20497935,26.04469243
22.98682595,25.85474864
25.18301887,25.73184379
27.67203305,25.60893873
29.28257229,25.48603345
30.8931227,25.41899452
32.94289382,25.34078215
34.26061181,25.25139677
36.01757285,25.18435783
37.77452272,25.05027955
39.67789439,24.93854771
42.89897287,24.77094995
45.97364073,24.63687166
49.63396226,24.46927391
54.61200178,24.23463722
59.59004131,24.04469301
65.73937702,23.83240235
68.22840237,22.32402255
71.8887239,22.18994426
76.573931,22.1564248
82.1376242,22.04469296
85.21229206,21.92178811
89.89749916,21.75419035
