#t(m)	P(GPa)	T(K)	R(Ohms)	P_mem(bar)	R_therm(Ohms)	Center (nm)	SpecFile	Comment
0.218083	49.166890	1.803871	-3.122500E-9	96.000055	4603.500000	709.005635	NA	NA
0.235800	49.321082	1.803821	-3.060250E-9	95.999844	4603.700000	709.051123	NA	NA
0.252600	49.370036	1.803871	1.245850E-8	95.999953	4603.500000	709.065559	NA	NA
0.269133	49.267654	1.803995	9.027000E-9	95.999828	4603.000000	709.035364	NA	NA
0.286217	49.177337	1.803871	-1.267250E-9	95.999883	4603.500000	709.008718	NA	NA
0.302417	49.323554	1.803970	-1.320025E-8	96.000062	4603.100000	709.051852	NA	NA
0.319150	49.211263	1.803920	4.853750E-9	96.000117	4603.300000	709.018728	NA	NA
0.335783	49.027305	1.804344	6.028500E-9	96.000070	4601.600000	708.964432	NA	NA
0.352467	49.235576	1.804394	1.078925E-8	96.000078	4601.400000	709.025901	NA	NA
0.369150	49.242518	1.804294	3.338750E-9	96.000039	4601.800000	709.027949	NA	NA
0.385783	49.303473	1.803945	-8.377750E-9	96.000117	4603.200000	709.045930	NA	NA
0.402467	49.300733	1.803945	6.523000E-9	95.999961	4603.200000	709.045122	NA	NA
0.419133	49.347179	1.803920	8.962500E-10	95.999938	4603.300000	709.058819	NA	NA
0.435833	49.367017	1.803697	-3.153000E-9	95.999883	4604.200000	709.064669	NA	NA
0.452467	49.196267	1.803821	-6.244750E-9	95.999984	4603.700000	709.014303	NA	NA
0.469167	49.181378	1.803722	5.378750E-9	96.000031	4604.100000	709.009910	NA	NA
0.485800	49.235670	1.803945	9.243250E-9	95.999953	4603.200000	709.025929	NA	NA
0.502500	49.293030	1.804719	-4.699250E-9	96.000039	4600.100000	709.042850	NA	NA
0.519183	49.192718	1.807330	-1.762000E-9	96.000109	4589.800000	709.013258	NA	NA
0.536217	49.234719	1.809582	3.616750E-9	96.000648	4581.100000	709.025651	NA	NA
0.552517	49.322186	1.822444	-1.793000E-9	96.001695	4533.800000	709.051456	NA	NA
0.569433	49.325066	1.830268	-1.372575E-8	96.018898	4506.400000	709.052309	NA	NA
0.585700	49.283781	1.837872	-1.081750E-9	96.052852	4480.400000	709.040135	NA	NA
0.602450	49.409222	1.844202	9.275000E-10	96.038406	4459.100000	709.077129	NA	NA
0.619167	49.312028	1.849846	1.947500E-9	96.022391	4440.300000	709.048472	NA	NA
0.635733	49.201751	1.854986	-3.400750E-9	96.008203	4423.300000	709.015943	NA	NA
0.652433	49.259804	1.859728	5.966750E-9	95.999328	4407.700000	709.033072	NA	NA
0.669100	49.364821	1.864213	1.060350E-8	95.994812	4393.000000	709.064046	NA	NA
0.685800	49.387298	1.868435	-3.369500E-9	95.993523	4379.200000	709.070675	NA	NA
0.702450	49.386261	1.872453	8.254000E-9	95.992711	4366.100000	709.070371	NA	NA
0.719100	49.291121	1.876293	-3.555000E-9	95.992086	4353.600000	709.042316	NA	NA
0.736067	49.334085	1.884050	1.453000E-9	95.994156	4328.400000	709.054991	NA	NA
0.752433	49.225834	1.894449	3.462750E-9	95.996641	4294.700000	709.023065	NA	NA
