#t(m)	P(GPa)	T(K)	R(Ohms)	P_mem(bar)	R_therm(Ohms)	Center (nm)	SpecFile	Comment
0.098167	60.827867	1.875340	7.749042E-7	65.000012	4356.700000	712.368337	NA	NA
0.099800	1.882741	1.875370	8.000067E-7	64.999996	4356.600000	693.507342	NA	NA
0.101700	2.160893	1.875125	8.410922E-7	64.999984	4357.400000	693.609001	NA	NA
0.102967	2.637952	1.875094	8.423289E-7	64.999977	4357.500000	693.783022	NA	NA
0.104067	2.767720	1.875278	8.308596E-7	64.999992	4356.900000	693.830285	NA	NA
0.105900	2.857373	1.875002	7.989867E-7	64.999961	4357.800000	693.862919	NA	NA
0.110717	2.737814	1.875248	8.334254E-7	64.999965	4357.000000	693.819396	NA	NA
0.112817	2.837525	1.875125	8.371661E-7	64.999941	4357.400000	693.855696	NA	NA
0.114333	2.817483	1.874940	8.314778E-7	64.999949	4358.000000	693.848401	NA	NA
0.116167	2.917266	1.875002	8.057880E-7	64.999941	4357.800000	693.884712	NA	NA
0.117883	2.817491	1.875125	8.030676E-7	64.999894	4357.400000	693.848404	NA	NA
0.119433	2.897193	1.874910	8.499029E-7	64.999883	4358.100000	693.877409	NA	NA
0.121017	2.997119	1.874817	8.694407E-7	64.999879	4358.400000	693.913759	NA	NA
0.122917	2.936959	1.875002	8.783754E-7	64.999894	4357.800000	693.891877	NA	NA
0.124533	2.937127	1.875002	8.469043E-7	64.999910	4357.800000	693.891938	NA	NA
0.126000	2.737860	1.874756	8.136710E-7	64.999906	4358.600000	693.819412	NA	NA
0.127517	2.628370	1.874694	8.146293E-7	64.999902	4358.800000	693.779530	NA	NA
0.129083	2.678093	1.874817	8.307048E-7	64.999898	4358.400000	693.797645	NA	NA
0.130983	2.907409	1.874817	8.599810E-7	64.999918	4358.400000	693.881126	NA	NA
0.132800	2.957032	1.874572	8.762113E-7	64.999910	4359.200000	693.899179	NA	NA
0.134217	2.897119	1.874541	8.362696E-7	64.999871	4359.300000	693.877382	NA	NA
0.135867	2.957019	1.874725	7.787684E-7	64.999871	4358.700000	693.899174	NA	NA
0.137683	2.737556	1.874633	7.850133E-7	64.999875	4359.000000	693.819301	NA	NA
0.139150	3.188356	1.874449	7.967608E-7	64.999891	4359.600000	693.983271	NA	NA
0.141400	3.106389	1.874541	8.195759E-7	64.999918	4359.300000	693.953485	NA	NA
