h,k,l,d-sp,2-theta,F_obs,F_calc,phase,mult,sig,gam,FWHM,Prfo,phase #
0,0,1,2.94834,8.037,958.811,965.415,0,2,0.0264,0.09361,0.12582,0.0056,1
1,0,0,2.47753,9.568,1062.846,1047.054,0,6,0.02676,0.21446,0.23236,0.9628,1
1,0,1,1.89677,12.508,1196.339,1104.091,0,12,0.02789,0.19125,0.21253,1.2072,1
0,0,2,1.47417,16.115,1257.053,917.584,0,2,0.02996,0.18623,0.21099,0.0594,1
1,1,0,1.4304,16.611,907.127,880.664,0,6,0.03029,0.37234,0.38617,0.9748,1
