Histogram,PWDR 17_ReMoB2_725psi_98GPa_S_P1_C1_D1w_109.xy,,,,
Instparm: Type,PXC,,,,
Instparm: Bank,1,,,,
Instparm: Lam,0.413263,,,,
Instparm: Polariz.,0.99,,,,
Instparm: Azimuth,0,,,,
Instparm: Zero,-0.000383,,,,
Instparm: U,234.8,,,,
Instparm: V,-21.61,,,,
Instparm: W,7.33,,,,
Instparm: X,0,,,,
Instparm: Y,0,,,,
Instparm: Z,0,,,,
Instparm: SH/L,0,,,,
Samparm: InstrName,,,,,
Samparm: Scale,0.53,,,,
Samparm: Type,Debye-Scherrer,,,,
Samparm: DisplaceX,0,,,,
Samparm: DisplaceY,0,,,,
Samparm: Temperature,300,,,,
Samparm: Pressure,0.1,,,,
Samparm: Time,0,,,,
Samparm: Gonio. radius,200,,,,
Samparm: Omega,0,,,,
Samparm: Chi,0,,,,
Samparm: Phi,0,,,,
Samparm: Azimuth,0,,,,
x,y_obs,weight,y_calc,y_bkg,Q
9.68009,344.321,0.00290427,332.494,149.967,2.56573
9.6991,328.226,0.00304668,311.977,150.073,2.57075
9.7181,314.943,0.00317518,296.087,150.181,2.57578
9.7371,303.704,0.00329268,284.638,150.291,2.5808
9.75611,294.775,0.00339242,277.298,150.403,2.58583
9.77511,288.249,0.00346923,273.679,150.517,2.59085
9.79411,283.378,0.00352885,273.334,150.632,2.59588
9.81312,281.136,0.003557,275.665,150.75,2.6009
9.83212,279.976,0.00357174,279.792,150.869,2.60592
9.85112,279.519,0.00357758,284.409,150.991,2.61095
9.87013,280.025,0.00357111,287.825,151.114,2.61597
9.88913,280.174,0.00356921,288.352,151.24,2.621
9.90813,279.134,0.00358251,284.991,151.367,2.62602
9.92714,276.259,0.00361979,277.935,151.496,2.63104
9.94614,272.249,0.0036731,268.397,151.628,2.63607
9.96514,266.82,0.00374784,257.93,151.761,2.64109
9.98415,260.347,0.00384103,247.817,151.896,2.64611
10.0031,252.648,0.00395808,238.839,152.033,2.65114
10.0222,245.08,0.0040803,231.32,152.173,2.65616
10.0412,238.026,0.00420122,225.249,152.314,2.66118
10.0602,231.145,0.00432629,220.382,152.457,2.66621
10.0792,224.252,0.00445927,216.317,152.602,2.67123
10.0982,217.229,0.00460343,212.581,152.75,2.67625
10.1172,210.901,0.00474155,208.773,152.899,2.68128
10.1362,204.516,0.0048896,204.703,153.05,2.6863
10.1552,198.698,0.00503275,200.425,153.203,2.69132
10.1742,193.401,0.0051706,196.144,153.359,2.69635
10.1932,189.183,0.00528589,192.08,153.516,2.70137
10.2122,185.258,0.00539787,188.38,153.675,2.70639
10.2312,181.696,0.00550371,185.112,153.836,2.71141
10.2502,178.59,0.00559943,182.28,153.999,2.71644
10.2692,176.075,0.00567939,179.854,154.164,2.72146
10.2882,174.106,0.00574364,177.789,154.331,2.72648
10.3072,172.816,0.0057865,176.039,154.5,2.7315
10.3262,171.303,0.00583759,174.559,154.671,2.73653
10.3452,169.977,0.00588315,173.308,154.844,2.74155
10.3642,169.151,0.00591189,172.251,155.019,2.74657
10.3832,168.597,0.0059313,171.358,155.196,2.75159
10.4022,168.018,0.00595173,170.605,155.375,2.75661
10.4212,167.167,0.00598205,169.972,155.555,2.76164
10.4402,166.39,0.00600997,169.441,155.738,2.76666
10.4592,165.975,0.006025,169.001,155.922,2.77168
10.4782,165.712,0.00603456,168.64,156.108,2.7767
10.4972,165.541,0.00604079,168.35,156.297,2.78172
10.5162,165.733,0.00603379,168.127,156.486,2.78674
10.5352,165.873,0.00602871,167.965,156.678,2.79177
10.5542,166.223,0.00601601,167.862,156.872,2.79679
10.5732,166.163,0.00601817,167.818,157.067,2.80181
10.5923,166.622,0.0060016,167.831,157.264,2.80683
10.6113,167.371,0.00597477,167.905,157.463,2.81185
10.6303,168.006,0.00595218,168.042,157.664,2.81687
10.6493,168.757,0.00592568,168.248,157.866,2.82189
10.6683,169.359,0.0059046,168.526,158.07,2.82691
10.6873,169.822,0.00588851,168.883,158.276,2.83193
10.7063,170.149,0.00587719,169.326,158.484,2.83695
10.7253,170.424,0.00586771,169.857,158.693,2.84198
10.7443,170.608,0.0058614,170.474,158.903,2.847
10.7633,170.807,0.00585456,171.165,159.116,2.85202
10.7823,171.296,0.00583786,171.901,159.33,2.85704
10.8013,171.904,0.00581721,172.64,159.545,2.86206
10.8203,172.213,0.00580677,173.329,159.762,2.86708
10.8393,172.269,0.00580488,173.925,159.98,2.8721
10.8583,172.199,0.00580723,174.404,160.2,2.87712
10.8773,172.562,0.00579502,174.765,160.422,2.88214
10.8963,172.513,0.00579666,175.009,160.645,2.88716
10.9153,172.289,0.0058042,175.12,160.869,2.89218
10.9343,172.049,0.0058123,175.074,161.094,2.8972
10.9533,172.307,0.00580359,174.855,161.321,2.90222
10.9723,172.606,0.00579354,174.483,161.549,2.90724
10.9913,172.747,0.00578881,174.009,161.779,2.91226
11.0103,172.743,0.00578893,173.499,162.01,2.91728
11.0293,173.023,0.00577957,173.01,162.241,2.92229
11.0483,173.295,0.00577051,172.58,162.475,2.92731
11.0673,173.196,0.00577382,172.227,162.709,2.93233
11.0863,173.461,0.00576498,171.956,162.944,2.93735
11.1053,173.658,0.00575843,171.766,163.181,2.94237
11.1243,174.508,0.00573038,171.65,163.418,2.94739
11.1433,175.094,0.00571123,171.598,163.657,2.95241
11.1623,175.674,0.00569235,171.605,163.896,2.95743
11.1814,175.825,0.00568749,171.662,164.136,2.96245
11.2004,176.135,0.00567748,171.763,164.378,2.96746
11.2194,176.71,0.00565899,171.903,164.62,2.97248
11.2384,177.531,0.00563283,172.079,164.863,2.9775
11.2574,178.341,0.00560723,172.287,165.106,2.98252
11.2764,179.564,0.00556906,172.525,165.351,2.98754
11.2954,179.95,0.00555709,172.792,165.596,2.99256
11.3144,180.788,0.00553133,173.087,165.842,2.99757
11.3334,181.344,0.0055144,173.412,166.088,3.00259
11.3524,182.021,0.00549387,173.765,166.335,3.00761
11.3714,182.577,0.00547714,174.147,166.583,3.01263
11.3904,183.246,0.00545713,174.56,166.831,3.01765
11.4094,183.975,0.00543552,175.001,167.08,3.02266
11.4284,184.09,0.00543214,175.469,167.328,3.02768
11.4474,184.088,0.00543219,175.957,167.578,3.0327
11.4664,183.664,0.00544472,176.454,167.827,3.03772
11.4854,183.062,0.00546262,176.942,168.077,3.04273
11.5044,182.611,0.00547611,177.404,168.327,3.04775
11.5234,181.648,0.00550514,177.825,168.577,3.05277
11.5424,181.159,0.00552001,178.198,168.828,3.05779
11.5614,180.411,0.00554289,178.532,169.078,3.0628
11.5804,180.227,0.00554855,178.842,169.329,3.06782
11.5994,179.606,0.00556774,179.149,169.579,3.07284
11.6184,179.373,0.00557498,179.47,169.83,3.07785
11.6374,179.093,0.0055837,179.816,170.08,3.08287
11.6564,179.271,0.00557816,180.197,170.33,3.08789
11.6754,179.089,0.0055838,180.615,170.58,3.0929
11.6944,178.799,0.00559286,181.072,170.83,3.09792
11.7134,178.521,0.00560157,181.569,171.079,3.10294
11.7324,178.478,0.00560292,182.108,171.328,3.10795
11.7515,178.537,0.00560109,182.688,171.577,3.11297
11.7705,178.817,0.00559231,183.312,171.825,3.11799
11.7895,178.96,0.00558785,183.98,172.073,3.123
11.8085,178.886,0.00559015,184.696,172.32,3.12802
11.8275,179.303,0.00557715,185.461,172.567,3.13303
11.8465,179.377,0.00557484,186.281,172.812,3.13805
11.8655,179.962,0.00555671,187.16,173.058,3.14306
11.8845,180.364,0.00554434,188.104,173.302,3.14808
11.9035,181.089,0.00552215,189.118,173.546,3.1531
11.9225,181.918,0.00549698,190.212,173.788,3.15811
11.9415,182.673,0.00547425,191.395,174.03,3.16313
11.9605,183.606,0.00544644,192.678,174.271,3.16814
11.9795,184.44,0.00542182,194.075,174.51,3.17316
11.9985,185.582,0.00538846,195.6,174.749,3.17817
12.0175,186.777,0.00535397,197.272,174.986,3.18319
12.0365,188.33,0.00530982,199.114,175.223,3.1882
12.0555,189.673,0.00527225,201.151,175.458,3.19322
12.0745,191.247,0.00522884,203.417,175.692,3.19823
12.0935,192.802,0.00518666,205.948,175.924,3.20325
12.1125,195.081,0.00512608,208.793,176.155,3.20826
12.1315,198.126,0.00504729,212.01,176.384,3.21327
12.1505,201.858,0.00495397,215.674,176.612,3.21829
12.1695,206.03,0.00485366,219.879,176.839,3.2233
12.1885,210.597,0.00474841,224.748,177.063,3.22832
12.2075,216.559,0.00461769,230.444,177.287,3.23333
12.2265,223.752,0.00446923,237.185,177.508,3.23835
12.2455,232.703,0.00429732,245.26,177.727,3.24336
12.2645,244.943,0.00408258,255.058,177.945,3.24837
12.2835,259.187,0.00385821,267.079,178.161,3.25339
12.3025,278.793,0.0035869,281.966,178.375,3.2584
12.3215,302.887,0.00330156,300.509,178.587,3.26341
12.3406,332.643,0.00300622,323.643,178.796,3.26843
12.3596,368.397,0.00271446,352.415,179.004,3.27344
12.3786,410.099,0.00243844,387.889,179.21,3.27845
12.3976,456.136,0.00219233,430.949,179.413,3.28347
12.4166,507.78,0.00196936,481.86,179.614,3.28848
12.4356,559.316,0.0017879,539.408,179.813,3.29349
12.4546,606.614,0.0016485,599.577,180.009,3.29851
12.4736,641.756,0.00155822,654.225,180.203,3.30352
12.4926,661.007,0.00151284,691.669,180.394,3.30853
12.5116,661.861,0.00151089,701.195,180.583,3.31355
12.5306,646.313,0.00154724,679.747,180.769,3.31856
12.5496,616.242,0.00162274,634.196,180.953,3.32357
12.5686,575.201,0.00173852,576.452,181.134,3.32858
12.5876,530.165,0.00188621,517.054,181.312,3.3336
12.6066,481.976,0.00207479,462.36,181.487,3.33861
12.6256,437.552,0.00228544,415.058,181.66,3.34362
12.6446,394.837,0.00253269,375.627,181.83,3.34863
12.6636,359.651,0.00278047,343.472,181.996,3.35364
12.6826,328.778,0.00304157,317.606,182.16,3.35866
12.7016,302.552,0.00330522,296.955,182.321,3.36367
12.7206,281.728,0.00354952,280.514,182.478,3.36868
12.7396,265.467,0.00376694,267.409,182.633,3.37369
12.7586,253.215,0.00394922,256.914,182.784,3.3787
12.7776,244.182,0.0040953,248.448,182.932,3.38371
12.7966,237.213,0.00421562,241.561,183.077,3.38872
12.8156,231.626,0.00431731,235.91,183.219,3.39374
12.8346,227.434,0.00439689,231.232,183.357,3.39875
12.8536,224.27,0.0044589,227.328,183.492,3.40376
12.8726,221.987,0.00450478,224.036,183.623,3.40877
12.8916,220.115,0.00454309,221.221,183.751,3.41378
12.9106,218.222,0.0045825,218.767,183.876,3.41879
12.9297,216.555,0.00461776,216.57,183.997,3.4238
12.9487,215.516,0.00464003,214.548,184.114,3.42881
12.9677,215.044,0.0046502,212.644,184.228,3.43382
12.9867,214.305,0.00466624,210.832,184.338,3.43883
13.0057,213.268,0.00468893,209.107,184.444,3.44384
13.0247,211.817,0.00472106,207.48,184.547,3.44885
13.0437,210.522,0.00475009,205.962,184.645,3.45386
13.0627,209.24,0.0047792,204.563,184.74,3.45887
13.0817,208.401,0.00479844,203.285,184.831,3.46388
13.1007,207.752,0.00481344,202.123,184.919,3.46889
13.1197,206.995,0.00483103,201.07,185.002,3.4739
13.1387,206.383,0.00484536,200.118,185.081,3.47891
13.1577,205.317,0.00487051,199.255,185.157,3.48392
13.1767,204.339,0.00489382,198.472,185.228,3.48893
13.1957,203.435,0.00491556,197.76,185.295,3.49394
13.2147,202.741,0.00493241,197.11,185.359,3.49895
13.2337,202.181,0.00494605,196.514,185.418,3.50396
13.2527,201.73,0.00495712,195.965,185.473,3.50897
13.2717,201.414,0.0049649,195.457,185.524,3.51398
13.2907,201.235,0.00496932,194.985,185.571,3.51898
13.3097,200.956,0.00497622,194.542,185.613,3.52399
13.3287,200.595,0.00498517,194.126,185.652,3.529
13.3477,200.369,0.00499079,193.731,185.686,3.53401
13.3667,199.908,0.00500231,193.354,185.716,3.53902
13.3857,199.314,0.0050172,192.992,185.741,3.54403
13.4047,198.999,0.00502514,192.64,185.763,3.54904
13.4237,199.273,0.00501824,192.296,185.78,3.55404
13.4427,199.398,0.00501509,191.956,185.793,3.55905
13.4617,199.415,0.00501467,191.617,185.801,3.56406
13.4807,199.503,0.00501244,191.275,185.805,3.56907
13.4998,199.68,0.00500801,190.927,185.805,3.57408
13.5188,199.714,0.00500715,190.569,185.801,3.57908
13.5378,199.343,0.00501647,190.198,185.792,3.58409
13.5568,199.302,0.00501751,189.81,185.779,3.5891
13.5758,199.133,0.00502177,189.4,185.761,3.59411
13.5948,199.176,0.00502068,188.967,185.739,3.59911
13.6138,199.011,0.00502485,188.507,185.713,3.60412
13.6328,198.671,0.00503345,188.021,185.682,3.60913
13.6518,197.858,0.00505414,187.513,185.647,3.61413
13.6708,197.097,0.00507364,186.99,185.607,3.61914
13.6898,196.037,0.00510109,186.469,185.563,3.62415
13.7088,194.992,0.00512841,185.973,185.515,3.62915
13.7278,193.834,0.00515907,185.533,185.462,3.63416
13.7468,192.564,0.00519308,185.181,185.405,3.63917
13.7658,191.366,0.00522559,184.943,185.344,3.64417
13.7848,190.575,0.00524729,184.833,185.278,3.64918
13.8038,190.062,0.00526145,184.843,185.208,3.65419
13.8228,189.042,0.00528983,184.951,185.134,3.65919
13.8418,187.776,0.00532549,185.125,185.055,3.6642
13.8608,186.73,0.00535532,185.333,184.973,3.6692
13.8798,186.096,0.00537358,185.547,184.885,3.67421
13.8988,185.476,0.00539153,185.75,184.794,3.67921
13.9178,184.651,0.00541562,185.931,184.698,3.68422
13.9368,183.916,0.00543727,186.083,184.598,3.68923
13.9558,183.006,0.0054643,186.206,184.494,3.69423
13.9748,182.341,0.00548424,186.301,184.386,3.69924
13.9938,181.693,0.0055038,186.37,184.274,3.70424
14.0128,181.127,0.005521,186.417,184.157,3.70925
14.0318,180.813,0.00553057,186.445,184.036,3.71425
14.0508,180.227,0.00554855,186.457,183.912,3.71926
14.0698,179.917,0.0055581,186.458,183.783,3.72426
14.0889,179.344,0.00557589,186.451,183.65,3.72927
14.1079,179.28,0.00557788,186.439,183.514,3.73427
14.1269,179.138,0.0055823,186.425,183.373,3.73927
14.1459,179.567,0.00556896,186.414,183.229,3.74428
14.1649,179.753,0.00556318,186.408,183.081,3.74928
14.1839,180.086,0.00555289,186.411,182.928,3.75429
14.2029,180.025,0.00555479,186.427,182.773,3.75929
14.2219,179.741,0.00556355,186.459,182.613,3.7643
14.2409,179.837,0.00556059,186.511,182.45,3.7693
14.2599,180.247,0.00554793,186.586,182.283,3.7743
14.2789,180.648,0.00553563,186.688,182.113,3.77931
14.2979,181.132,0.00552085,186.818,181.939,3.78431
14.3169,181.425,0.00551193,186.976,181.761,3.78931
14.3359,182.072,0.00549233,187.16,181.58,3.79432
14.3549,182.563,0.00547756,187.361,181.396,3.79932
14.3739,183.113,0.00546111,187.564,181.209,3.80432
14.3929,183.583,0.00544711,187.748,181.018,3.80933
14.4119,184.15,0.00543035,187.883,180.824,3.81433
14.4309,184.566,0.00541813,187.936,180.627,3.81933
14.4499,184.487,0.00542045,187.874,180.427,3.82433
14.4689,183.989,0.00543512,187.679,180.223,3.82934
14.4879,183.152,0.00545994,187.349,180.017,3.83434
14.5069,182.825,0.00546971,186.9,179.808,3.83934
14.5259,182.405,0.00548232,186.36,179.596,3.84434
14.5449,182.213,0.00548808,185.763,179.382,3.84935
14.5639,181.507,0.00550943,185.141,179.165,3.85435
14.5829,180.785,0.00553145,184.518,178.945,3.85935
14.6019,180.141,0.0055512,183.912,178.723,3.86435
14.6209,179.418,0.00557357,183.331,178.498,3.86935
14.6399,178.747,0.00559449,182.781,178.271,3.87436
14.6589,177.896,0.00562125,182.263,178.041,3.87936
14.678,177.276,0.00564093,181.776,177.81,3.88436
14.697,176.806,0.00565592,181.317,177.576,3.88936
14.716,176.12,0.00567795,180.883,177.34,3.89436
14.735,175.682,0.00569209,180.472,177.102,3.89936
14.754,175.095,0.00571117,180.082,176.862,3.90436
14.773,175.033,0.00571321,179.708,176.621,3.90936
14.792,174.707,0.00572386,179.35,176.377,3.91436
14.811,174.461,0.00573194,179.005,176.133,3.91936
14.83,174.174,0.00574139,178.67,175.886,3.92437
14.849,173.779,0.00575444,178.346,175.638,3.92937
14.868,173.517,0.00576313,178.029,175.389,3.93437
14.887,173.512,0.00576329,177.72,175.138,3.93937
14.906,173.784,0.00575426,177.417,174.887,3.94437
14.925,174.286,0.0057377,177.119,174.634,3.94937
14.944,174.06,0.00574515,176.826,174.38,3.95437
14.963,173.637,0.00575913,176.537,174.125,3.95937
14.982,173.226,0.00577282,176.252,173.87,3.96437
15.001,173.178,0.00577439,175.971,173.614,3.96937
15.02,173.19,0.00577402,175.692,173.357,3.97436
15.039,173.091,0.00577732,175.417,173.099,3.97936
15.058,173.065,0.00577818,175.145,172.842,3.98436
15.077,172.795,0.00578722,174.875,172.583,3.98936
15.096,172.887,0.00578412,174.607,172.325,3.99436
15.115,173.061,0.0057783,174.343,172.067,3.99936
15.134,173.2,0.00577368,174.081,171.808,4.00436
15.153,173.039,0.00577905,173.821,171.55,4.00936
15.172,172.817,0.00578647,173.564,171.292,4.01436
15.191,172.665,0.00579158,173.31,171.034,4.01935
15.21,172.672,0.00579133,173.058,170.776,4.02435
15.229,172.654,0.00579194,172.809,170.519,4.02935
15.2481,172.702,0.00579034,172.562,170.263,4.03435
15.2671,172.64,0.00579239,172.319,170.007,4.03935
15.2861,172.541,0.00579573,172.079,169.752,4.04435
15.3051,172.063,0.00581182,171.841,169.498,4.04934
15.3241,172.064,0.00581178,171.607,169.245,4.05434
15.3431,172.301,0.00580379,171.377,168.993,4.05934
15.3621,172.587,0.00579417,171.15,168.742,4.06434
15.3811,172.463,0.00579834,170.927,168.493,4.06933
15.4001,172.236,0.00580598,170.707,168.245,4.07433
15.4191,172.028,0.00581302,170.492,167.998,4.07933
15.4381,172.109,0.00581026,170.281,167.753,4.08432
15.4571,172.367,0.00580158,170.075,167.51,4.08932
15.4761,172.535,0.00579591,169.873,167.269,4.09432
15.4951,172.559,0.00579511,169.676,167.029,4.09932
15.5141,172.687,0.00579082,169.485,166.792,4.10431
15.5331,172.754,0.00578858,169.299,166.557,4.10931
15.5521,172.702,0.00579031,169.118,166.324,4.1143
15.5711,172.513,0.00579668,168.944,166.093,4.1193
15.5901,172.585,0.00579425,168.777,165.864,4.1243
15.6091,172.506,0.00579691,168.616,165.638,4.12929
15.6281,172.701,0.00579036,168.463,165.415,4.13429
15.6471,172.732,0.00578932,168.317,165.194,4.13928
15.6661,172.763,0.00578828,168.18,164.976,4.14428
15.6851,172.444,0.00579897,168.051,164.761,4.14928
15.7041,172.274,0.00580472,167.932,164.549,4.15427
15.7231,172.317,0.00580325,167.823,164.34,4.15927
15.7421,172.194,0.00580741,167.725,164.133,4.16426
15.7611,172.277,0.0058046,167.638,163.931,4.16926
15.7801,172.001,0.00581392,167.564,163.731,4.17425
15.7991,171.976,0.00581476,167.503,163.534,4.17925
15.8181,171.99,0.00581428,167.458,163.342,4.18424
15.8372,172.236,0.00580597,167.431,163.152,4.18924
15.8562,172.223,0.00580642,167.422,162.966,4.19423
15.8752,172.083,0.00581116,167.435,162.784,4.19922
15.8942,172.022,0.0058132,167.473,162.605,4.20422
15.9132,172.062,0.00581187,167.541,162.43,4.20921
15.9322,171.893,0.00581757,167.643,162.259,4.21421
15.9512,171.967,0.00581508,167.785,162.092,4.2192
15.9702,171.967,0.00581508,167.972,161.928,4.22419
15.9892,172.054,0.00581212,168.212,161.769,4.22919
16.0082,172.152,0.00580882,168.509,161.613,4.23418
16.0272,172.237,0.00580596,168.866,161.462,4.23918
16.0462,172.596,0.00579389,169.279,161.314,4.24417
16.0652,172.474,0.00579796,169.73,161.171,4.24916
16.0842,172.7,0.00579038,170.187,161.032,4.25416
16.1032,172.895,0.00578385,170.601,160.897,4.25915
16.1222,173.528,0.00576277,170.937,160.766,4.26414
16.1412,173.825,0.00575291,171.196,160.639,4.26913
16.1602,174.246,0.00573902,171.419,160.517,4.27413
16.1792,174.461,0.00573195,171.665,160.398,4.27912
16.1982,174.935,0.00571642,171.984,160.284,4.28411
16.2172,175.275,0.00570533,172.409,160.174,4.2891
16.2362,176.043,0.00568043,172.958,160.068,4.2941
16.2552,176.902,0.00565284,173.647,159.967,4.29909
16.2742,177.772,0.00562517,174.484,159.869,4.30408
16.2932,178.656,0.00559736,175.482,159.776,4.30907
16.3122,179.683,0.00556534,176.652,159.687,4.31406
16.3312,180.816,0.0055305,178.01,159.602,4.31906
16.3502,181.941,0.00549628,179.57,159.521,4.32405
16.3692,183.279,0.00545615,181.35,159.444,4.32904
16.3882,184.998,0.00540548,183.365,159.37,4.33403
16.4073,186.839,0.0053522,185.631,159.301,4.33902
16.4263,188.963,0.00529204,188.155,159.235,4.34401
16.4453,190.494,0.0052495,190.936,159.173,4.349
16.4643,191.888,0.00521136,193.953,159.115,4.35399
16.4833,193.714,0.00516224,197.161,159.06,4.35898
16.5023,195.382,0.00511819,200.481,159.009,4.36397
16.5213,196.695,0.00508401,203.787,158.961,4.36896
16.5403,198.223,0.00504482,206.911,158.916,4.37395
16.5593,199.389,0.00501532,209.649,158.874,4.37894
16.5783,200.071,0.00499821,211.781,158.836,4.38393
16.5973,200.058,0.00499855,213.116,158.799,4.38892
16.6163,199.995,0.00500011,213.532,158.766,4.39391
16.6353,199.762,0.00500596,213.005,158.735,4.3989
16.6543,199.553,0.00501121,211.617,158.706,4.40389
16.6733,199.443,0.00501395,209.539,158.68,4.40888
16.6923,198.72,0.00503221,206.985,158.655,4.41387
16.7113,197.671,0.00505892,204.174,158.633,4.41886
16.7303,196.819,0.00508081,201.299,158.611,4.42385
16.7493,196.311,0.00509397,198.512,158.591,4.42884
16.7683,195.909,0.0051044,195.92,158.573,4.43383
16.7873,194.95,0.00512951,193.59,158.554,4.43882
16.8063,193.926,0.0051566,191.56,158.537,4.44381
16.8253,192.974,0.00518203,189.845,158.52,4.44879
16.8443,192.012,0.00520802,188.445,158.503,4.45378
16.8633,190.843,0.00523991,187.35,158.485,4.45877
16.8823,189.679,0.00527206,186.54,158.467,4.46376
16.9013,188.675,0.00530012,185.988,158.449,4.46875
16.9203,187.593,0.00533068,185.66,158.428,4.47373
16.9393,186.763,0.00535437,185.51,158.407,4.47872
16.9583,186.014,0.00537593,185.483,158.383,4.48371
16.9773,185.29,0.00539695,185.508,158.358,4.4887
16.9964,184.882,0.00540887,185.51,158.329,4.49368
17.0154,184.853,0.0054097,185.408,158.298,4.49867
17.0344,184.789,0.00541159,185.13,158.263,4.50366
17.0534,183.838,0.00543957,184.623,158.224,4.50865
17.0724,182.802,0.0054704,183.863,158.181,4.51363
17.0914,181.782,0.00550108,182.859,158.133,4.51862
17.1104,181.501,0.00550963,181.65,158.08,4.52361
17.1294,180.798,0.00553103,180.289,158.021,4.52859
17.1484,179.633,0.0055669,178.839,157.956,4.53358
17.1674,178.133,0.00561378,177.357,157.884,4.53857
17.1864,176.657,0.00566069,175.89,157.805,4.54355
17.2054,175.121,0.00571035,174.473,157.718,4.54854
17.2244,173.512,0.0057633,173.127,157.622,4.55352
17.2434,172.141,0.00580918,171.865,157.517,4.55851
17.2624,171.052,0.00584616,170.69,157.403,4.56349
17.2814,170.103,0.00587878,169.602,157.279,4.56848
17.3004,168.772,0.00592517,168.595,157.143,4.57347
17.3194,167.762,0.00596083,167.663,156.996,4.57845
17.3384,166.803,0.00599511,166.797,156.836,4.58344
17.3574,166.212,0.00601642,165.987,156.664,4.58842
17.3764,165.506,0.00604206,165.225,156.478,4.59341
17.3954,164.876,0.00606517,164.501,156.277,4.59839
17.4144,163.916,0.00610068,163.807,156.061,4.60337
17.4334,163.189,0.00612788,163.134,155.829,4.60836
17.4524,162.608,0.00614976,162.477,155.58,4.61334
17.4714,162.394,0.00615787,161.83,155.313,4.61833
17.4904,161.942,0.00617506,161.189,155.028,4.62331
17.5094,161.48,0.00619273,160.552,154.723,4.6283
17.5284,161.103,0.00620721,0,0,4.63328
17.5474,161.013,0.00621069,0,0,4.63826
17.5664,160.431,0.00623321,0,0,4.64325
17.5855,159.831,0.00625661,0,0,4.64823
17.6045,159.428,0.00627241,0,0,4.65321
17.6235,159.094,0.00628559,0,0,4.6582
17.6425,158.965,0.0062907,0,0,4.66318
17.6615,159.06,0.00628692,0,0,4.66816
17.6805,158.924,0.0062923,0,0,4.67315
17.6995,158.341,0.00631548,0,0,4.67813
17.7185,157.764,0.00633857,0,0,4.68311
17.7375,157.429,0.00635208,0,0,4.68809
17.7565,157.08,0.00636616,0,0,4.69308
17.7755,156.838,0.00637601,0,0,4.69806
17.7945,156.437,0.00639235,0,0,4.70304
17.8135,156.461,0.00639136,0,0,4.70802
17.8325,156.343,0.00639618,0,0,4.713
17.8515,155.816,0.00641782,0,0,4.71799
17.8705,155.215,0.00644266,0,0,4.72297
17.8895,155.263,0.00644068,0,0,4.72795
17.9085,155.243,0.00644153,0,0,4.73293
17.9275,155.299,0.00643919,0,0,4.73791
17.9465,155.169,0.00644458,0,0,4.74289
17.9655,154.917,0.00645506,0,0,4.74787
17.9845,154.613,0.00646778,0,0,4.75285
18.0035,154.648,0.00646628,0,0,4.75783
18.0225,155.1,0.00644745,0,0,4.76281
18.0415,155.079,0.00644833,0,0,4.76779
18.0605,154.991,0.00645201,0,0,4.77277
18.0795,155.077,0.00644843,0,0,4.77775
18.0985,155.81,0.00641806,0,0,4.78273
18.1175,156.278,0.00639885,0,0,4.78771
18.1365,156.914,0.0063729,0,0,4.79269
18.1556,157.666,0.00634253,0,0,4.79767
18.1746,158.524,0.00630818,0,0,4.80265
18.1936,159.664,0.00626316,0,0,4.80763
18.2126,160.669,0.00622397,0,0,4.81261
18.2316,161.997,0.00617295,0,0,4.81759
18.2506,163.517,0.00611559,0,0,4.82257
18.2696,165.307,0.00604934,0,0,4.82755
18.2886,166.876,0.00599246,0,0,4.83253
18.3076,168.66,0.0059291,0,0,4.83751
18.3266,170.627,0.00586072,0,0,4.84248
18.3456,172.624,0.00579294,0,0,4.84746
18.3646,174.916,0.00571704,0,0,4.85244
18.3836,176.716,0.00565878,0,0,4.85742
18.4026,178.65,0.00559753,0,0,4.8624
18.4216,180.229,0.0055485,0,0,4.86737
18.4406,182.052,0.00549293,0,0,4.87235
18.4596,183.362,0.0054537,0,0,4.87733
18.4786,184.435,0.00542198,0,0,4.88231
18.4976,185.021,0.00540478,0,0,4.88728
18.5166,185.132,0.00540154,0,0,4.89226
18.5356,184.549,0.00541861,0,0,4.89724
18.5546,183.679,0.00544429,0,0,4.90221
18.5736,182.509,0.00547918,0,0,4.90719
18.5926,180.7,0.00553405,0,0,4.91217
18.6116,178.055,0.00561624,0,0,4.91714
18.6306,175.228,0.00570686,0,0,4.92212
18.6496,171.737,0.00582287,0,0,4.9271
18.6686,167.689,0.00596343,0,0,4.93207
18.6876,163.569,0.00611364,0,0,4.93705
18.7066,159.462,0.00627107,0,0,4.94202
18.7256,155.28,0.00643998,0,0,4.947
18.7447,151.044,0.00662061,0,0,4.95197
18.7637,146.973,0.00680397,0,0,4.95695
18.7827,143.193,0.00698357,0,0,4.96192
18.8017,139.884,0.00714879,0,0,4.9669
18.8207,137.416,0.00727719,0,0,4.97187
18.8397,134.959,0.00740967,0,0,4.97685
18.8587,132.468,0.00754897,0,0,4.98182
18.8777,130.463,0.00766499,0,0,4.9868
18.8967,128.987,0.00775272,0,0,4.99177
18.9157,127.425,0.00784776,0,0,4.99675
18.9347,126.336,0.00791542,0,0,5.00172
18.9537,125.326,0.00797917,0,0,5.00669
18.9727,124.732,0.00801718,0,0,5.01167
18.9917,123.789,0.00807828,0,0,5.01664
19.0107,122.915,0.0081357,0,0,5.02162
19.0297,121.718,0.00821572,0,0,5.02659
19.0487,120.503,0.00829855,0,0,5.03156
19.0677,119.077,0.00839794,0,0,5.03654
